realtime_start,realtime_end,date,value
2025-02-06,2025-02-06,1946-01-01,
2025-02-06,2025-02-06,1946-04-01,
2025-02-06,2025-02-06,1946-07-01,
2025-02-06,2025-02-06,1946-10-01,
2025-02-06,2025-02-06,1947-01-01,21.97
2025-02-06,2025-02-06,1947-04-01,20.788
2025-02-06,2025-02-06,1947-07-01,20.564
2025-02-06,2025-02-06,1947-10-01,22.451
2025-02-06,2025-02-06,1948-01-01,23.739
2025-02-06,2025-02-06,1948-04-01,24.941
2025-02-06,2025-02-06,1948-07-01,24.551
2025-02-06,2025-02-06,1948-10-01,23.76
2025-02-06,2025-02-06,1949-01-01,21.683
2025-02-06,2025-02-06,1949-04-01,19.172
2025-02-06,2025-02-06,1949-07-01,19.816
2025-02-06,2025-02-06,1949-10-01,19.457
2025-02-06,2025-02-06,1950-01-01,20.037
2025-02-06,2025-02-06,1950-04-01,23.815
2025-02-06,2025-02-06,1950-07-01,28.777
2025-02-06,2025-02-06,1950-10-01,31.581
2025-02-06,2025-02-06,1951-01-01,26.345
2025-02-06,2025-02-06,1951-04-01,22.589
2025-02-06,2025-02-06,1951-07-01,20.778
2025-02-06,2025-02-06,1951-10-01,22.592
2025-02-06,2025-02-06,1952-01-01,22.062
2025-02-06,2025-02-06,1952-04-01,21.295
2025-02-06,2025-02-06,1952-07-01,21.59
2025-02-06,2025-02-06,1952-10-01,23.752
2025-02-06,2025-02-06,1953-01-01,24.609
2025-02-06,2025-02-06,1953-04-01,24.658
2025-02-06,2025-02-06,1953-07-01,24.201
2025-02-06,2025-02-06,1953-10-01,19.351
2025-02-06,2025-02-06,1954-01-01,21.923
2025-02-06,2025-02-06,1954-04-01,22.529
2025-02-06,2025-02-06,1954-07-01,23.813
2025-02-06,2025-02-06,1954-10-01,25.515
2025-02-06,2025-02-06,1955-01-01,28.583
2025-02-06,2025-02-06,1955-04-01,29.064
2025-02-06,2025-02-06,1955-07-01,29.843
2025-02-06,2025-02-06,1955-10-01,31.115
2025-02-06,2025-02-06,1956-01-01,30.601
2025-02-06,2025-02-06,1956-04-01,31.446
2025-02-06,2025-02-06,1956-07-01,30.211
2025-02-06,2025-02-06,1956-10-01,31.879
2025-02-06,2025-02-06,1957-01-01,32.174
2025-02-06,2025-02-06,1957-04-01,30.883
2025-02-06,2025-02-06,1957-07-01,30.274
2025-02-06,2025-02-06,1957-10-01,27.922
2025-02-06,2025-02-06,1958-01-01,24.236
2025-02-06,2025-02-06,1958-04-01,24.6
2025-02-06,2025-02-06,1958-07-01,27.064
2025-02-06,2025-02-06,1958-10-01,30.458
2025-02-06,2025-02-06,1959-01-01,32.706
2025-02-06,2025-02-06,1959-04-01,35.446
2025-02-06,2025-02-06,1959-07-01,32.441
2025-02-06,2025-02-06,1959-10-01,31.96
2025-02-06,2025-02-06,1960-01-01,34.614
2025-02-06,2025-02-06,1960-04-01,32.312
2025-02-06,2025-02-06,1960-07-01,31.023
2025-02-06,2025-02-06,1960-10-01,29.922
2025-02-06,2025-02-06,1961-01-01,29.223
2025-02-06,2025-02-06,1961-04-01,30.671
2025-02-06,2025-02-06,1961-07-01,32.317
2025-02-06,2025-02-06,1961-10-01,34.595
2025-02-06,2025-02-06,1962-01-01,35.196
2025-02-06,2025-02-06,1962-04-01,35.166
2025-02-06,2025-02-06,1962-07-01,36.205
2025-02-06,2025-02-06,1962-10-01,37.066
2025-02-06,2025-02-06,1963-01-01,36.708
2025-02-06,2025-02-06,1963-04-01,38.652
2025-02-06,2025-02-06,1963-07-01,39.653
2025-02-06,2025-02-06,1963-10-01,40.688
2025-02-06,2025-02-06,1964-01-01,44.409
2025-02-06,2025-02-06,1964-04-01,44.397
2025-02-06,2025-02-06,1964-07-01,45.512
2025-02-06,2025-02-06,1964-10-01,45.174
2025-02-06,2025-02-06,1965-01-01,50.699
2025-02-06,2025-02-06,1965-04-01,52.574
2025-02-06,2025-02-06,1965-07-01,53.517
2025-02-06,2025-02-06,1965-10-01,56.577
2025-02-06,2025-02-06,1966-01-01,58.118
2025-02-06,2025-02-06,1966-04-01,58.576
2025-02-06,2025-02-06,1966-07-01,58.397
2025-02-06,2025-02-06,1966-10-01,57.517
2025-02-06,2025-02-06,1967-01-01,55.152
2025-02-06,2025-02-06,1967-04-01,55.258
2025-02-06,2025-02-06,1967-07-01,56.54
2025-02-06,2025-02-06,1967-10-01,59.497
2025-02-06,2025-02-06,1968-01-01,58.82
2025-02-06,2025-02-06,1968-04-01,60.526
2025-02-06,2025-02-06,1968-07-01,61.024
2025-02-06,2025-02-06,1968-10-01,62.599
2025-02-06,2025-02-06,1969-01-01,61.994
2025-02-06,2025-02-06,1969-04-01,60.335
2025-02-06,2025-02-06,1969-07-01,58.634
2025-02-06,2025-02-06,1969-10-01,57.815
2025-02-06,2025-02-06,1970-01-01,55.323
2025-02-06,2025-02-06,1970-04-01,55.194
2025-02-06,2025-02-06,1970-07-01,56.132
2025-02-06,2025-02-06,1970-10-01,53.35
2025-02-06,2025-02-06,1971-01-01,60.152
2025-02-06,2025-02-06,1971-04-01,62.42
2025-02-06,2025-02-06,1971-07-01,66.544
2025-02-06,2025-02-06,1971-10-01,68.735
2025-02-06,2025-02-06,1972-01-01,72.785
2025-02-06,2025-02-06,1972-04-01,73.825
2025-02-06,2025-02-06,1972-07-01,77.004
2025-02-06,2025-02-06,1972-10-01,83.484
2025-02-06,2025-02-06,1973-01-01,95.547
2025-02-06,2025-02-06,1973-04-01,99.033
2025-02-06,2025-02-06,1973-07-01,101.161
2025-02-06,2025-02-06,1973-10-01,106.253
2025-02-06,2025-02-06,1974-01-01,112.656
2025-02-06,2025-02-06,1974-04-01,115.543
2025-02-06,2025-02-06,1974-07-01,121.06
2025-02-06,2025-02-06,1974-10-01,107.908
2025-02-06,2025-02-06,1975-01-01,94.707
2025-02-06,2025-02-06,1975-04-01,99.406
